Player,Team,Win Rate Impact,xG Impact,Games Started,Games Missed,Note
Ollie Watkins,Aston Villa,54.054054054054056,0.8945945945945943,37.0,1.0,
Son Heung-min,Tottenham,19.60784313725491,0.10294117647058831,34.0,3.0,
Jarrod Bowen,West Ham,13.235294117647058,0.5661764705882355,34.0,4.0,
Cole Palmer,Chelsea,11.724137931034484,-0.10482758620689592,29.0,5.0,
Alexander Isak,Newcastle Utd,-9.25925925925926,0.2851851851851852,27.0,8.0,
Erling Haaland,Manchester City,-16.74876847290639,-0.07684729064039386,29.0,7.0,
Mohamed Salah,Liverpool,-21.264367816091962,0.24655172413793114,29.0,6.0,
Bukayo Saka,Arsenal,-28.57142857142857,0.7323809523809526,35.0,3.0,
Phil Foden,Manchester City,-29.411764705882348,-0.2715686274509803,34.0,3.0,
Dominic Solanke,Bournemouth,,,37.0,0.0,Never missed a game
