date,player_name,team,result,xG,xg_conceded,Status
12-08-2023,Alexander Isak,Newcastle Utd,W,3.3,0,Starter
19-08-2023,Alexander Isak,Newcastle Utd,L,0.3,0,Starter
27-08-2023,Alexander Isak,Newcastle Utd,L,2,0,Starter
02-09-2023,Alexander Isak,Newcastle Utd,L,1.2,0,Starter
16-09-2023,Alexander Isak,Newcastle Utd,W,1.4,0,Absent
24-09-2023,Alexander Isak,Newcastle Utd,W,3.9,0,Sub
30-09-2023,Alexander Isak,Newcastle Utd,W,3.1,0,Starter
08-10-2023,Alexander Isak,Newcastle Utd,D,2,0,Starter
21-10-2023,Alexander Isak,Newcastle Utd,W,2.4,0,Sub
28-10-2023,Alexander Isak,Newcastle Utd,D,2.2,0,Absent
04-11-2023,Alexander Isak,Newcastle Utd,W,1,0,Absent
11-11-2023,Alexander Isak,Newcastle Utd,L,0.5,0,Absent
25-11-2023,Alexander Isak,Newcastle Utd,W,2.4,0,Starter
02-12-2023,Alexander Isak,Newcastle Utd,W,2.4,0,Starter
07-12-2023,Alexander Isak,Newcastle Utd,L,1.5,0,Starter
10-12-2023,Alexander Isak,Newcastle Utd,L,1.7,0,Starter
16-12-2023,Alexander Isak,Newcastle Utd,W,3.5,0,Absent
23-12-2023,Alexander Isak,Newcastle Utd,L,1.4,0,Starter
26-12-2023,Alexander Isak,Newcastle Utd,L,2.4,0,Starter
01-01-2024,Alexander Isak,Newcastle Utd,L,0.6,0,Starter
13-01-2024,Alexander Isak,Newcastle Utd,L,1.3,0,Starter
30-01-2024,Alexander Isak,Newcastle Utd,W,2.6,0,Sub
03-02-2024,Alexander Isak,Newcastle Utd,D,2.3,0,Absent
10-02-2024,Alexander Isak,Newcastle Utd,W,0.5,0,Absent
17-02-2024,Alexander Isak,Newcastle Utd,D,2.2,0,Absent
24-02-2024,Alexander Isak,Newcastle Utd,L,0.2,0,Starter
02-03-2024,Alexander Isak,Newcastle Utd,W,2.1,0,Starter
11-03-2024,Alexander Isak,Newcastle Utd,L,0.7,0,Starter
30-03-2024,Alexander Isak,Newcastle Utd,W,4.1,0,Starter
